key,Полная мощность,Время нагрева,Вес добавки
13,0.354767,0.251177,439.119840524392
13,0.305344,0.269377,363.103709463495
13,0.73748,0.504562,377.932433951821
14,0.509109,0.388666,412.393265509046
14,0.666099,0.503419,421.678149126557
14,1.019963,0.741209,435.958864403539
14,0.485121,0.451034,446.376216717646
14,0.618853,0.434014,398.697192753127
14,1.011364,0.894062,387.380428622884
15,0.357609,0.236726,431.790459191426
15,0.418855,0.276859,469.929264585254
15,0.748699,0.519172,408.697615642915
15,0.39346,0.300262,358.100033412221
15,0.853441,0.571927,444.327784538211
16,0.517101,0.348967,356.493920338572
16,0.578838,0.428788,394.268589064915
16,0.459944,0.358614,402.281478403631
17,1.195434,0.9768,442.406379210035
17,0.953224,0.649247,356.717746984679
17,0.853521,0.571626,418.824385536675
17,1.220986,1.074333,406.512508010303
17,0.406621,0.285777,419.962083827806
18,0.362735,0.316976,424.31449232364
18,0.515849,0.421186,451.989140532271
18,0.848125,0.555223,422.12208940665
18,0.9437,0.588743,427.277162219718
18,0.873248,0.713031,480.424851633608
19,0.796037,0.54331,416.321030928622
19,0.381018,0.271883,434.200674720807
19,1.200436,0.836174,405.692429143266
20,0.51709,0.42987,419.924718374852
20,0.40246,0.287402,417.326498921931
20,0.547288,0.422592,375.328409648966
20,0.766118,0.493367,381.902846714831
20,0.836358,0.61266,453.28785803914
21,0.44501,0.327709,437.372214622621
21,0.486658,0.333009,399.254850566387
21,0.639156,0.425871,426.982265383878
21,0.553851,0.460131,434.808353605797
21,0.493884,0.453807,367.742150632431
21,0.582278,0.435134,426.414697488974
22,0.416693,0.282269,423.675488167384
22,0.805373,0.706759,420.147289918269
22,0.550549,0.344273,421.712742894408
22,0.29687,0.241019,407.243003922951
22,0.578899,0.423595,366.27681824367
22,0.46939,0.415422,406.454564102853
23,0.917064,0.641088,418.662764917564
23,0.59356,0.447818,442.092969609541
23,0.672961,0.510488,439.045894057665
23,1.031975,0.65727,384.834295931534
23,0.78939,0.647184,406.033372558988
24,0.536975,0.391653,385.75266502786
24,0.36707,0.236627,458.647983253933
24,0.783893,0.53959,381.466698530595
24,0.523169,0.393188,428.599308310106
24,0.456281,0.310365,402.691635503026
24,0.58418,0.397972,393.549415224436
25,1.050481,0.695222,411.263542349581
25,0.37902,0.274015,404.462506952506
25,0.433161,0.292997,394.071381054993
25,0.671973,0.464281,405.335404724348
25,0.734893,0.594302,452.702038859308
25,0.647655,0.497607,416.744392754219
26,0.379162,0.279738,369.266682031331
26,0.370609,0.26181,381.265882100444
26,0.738229,0.552377,408.384415226203
27,0.819494,0.614552,405.672321352278
27,0.560899,0.357083,358.659390843706
27,1.028829,0.776168,422.816841040651
27,0.489026,0.350214,474.69990990404
28,0.452306,0.314882,410.934260929673
28,0.729953,0.497477,430.014567331193
28,0.781541,0.517268,405.750869862197
28,0.514685,0.367232,441.4464871331
29,0.361212,0.325658,405.639427202652
29,0.584825,0.379651,453.901603253791
29,0.820875,0.691801,416.787536909134
29,0.855655,0.615837,426.12249389432
30,0.271634,0.197536,433.077619294374
30,0.782927,0.5462,437.401343464182
30,0.54218,0.367158,380.826386975707
30,0.613326,0.544351,421.822485935729
31,0.706558,0.537496,375.259274409211
31,0.71564,0.550317,400.849876899621
31,0.363854,0.270391,425.244628007669
31,1.131533,0.773594,437.783626824705
32,0.463147,0.374491,413.067490984497
32,0.502953,0.352604,419.346534403041
32,0.321175,0.221176,437.423987608519
32,0.45036,0.307032,360.058830341324
33,0.302394,0.260613,408.873486907134
33,0.478676,0.315478,422.544431461312
33,0.460613,0.314188,396.254579885601
33,0.549723,0.37249,443.926413157635
33,0.980108,0.82013,423.163981525897
33,0.887283,0.619086,384.499183513719
33,0.471479,0.351416,428.448983615192
34,0.846831,0.583265,401.804199458376
34,0.439837,0.294242,419.489250037906
34,0.304665,0.277515,423.637469015113
35,0.358962,0.292957,411.335710754167
35,0.454238,0.342769,431.793021692749
35,0.717018,0.503796,396.345627126459
36,0.467047,0.337613,425.396495432971
36,0.828752,0.53968,430.261901004735
36,0.855535,0.562861,426.875843135087
