цена;возраст;мощность;кузов;"цена;возраст;мощность;кузов"
3200;15;110;не седан;"3200;15;110;не седан"
3250;20;163;не седан;"3250;20;163;не седан"
3400;17;54;не седан;"3400;17;54;не седан"
1100;21;58;не седан;"1100;21;58;не седан"
1750;21;125;седан;"1750;21;125;седан"
3300;17;140;не седан;"3300;17;140;не седан"
1350;18;52;не седан;"1350;18;52;не седан"
8250;11;69;не седан;"8250;11;69;не седан"
2500;23;115;не седан;"2500;23;115;не седан"
3999;19;163;не седан;"3999;19;163;не седан"
7000;16;143;седан;"7000;16;143;седан"
2950;18;131;не седан;"2950;18;131;не седан"
4850;13;77;не седан;"4850;13;77;не седан"
1100;23;60;не седан;"1100;23;60;не седан"
3600;20;147;седан;"3600;20;147;седан"
7750;14;80;седан;"7750;14;80;седан"
2950;19;54;не седан;"2950;19;54;не седан"
400;6;65;не седан;"400;6;65;не седан"
6880;16;150;не седан;"6880;16;150;не седан"
5600;15;140;не седан;"5600;15;140;не седан"
10550;11;105;седан;"10550;11;105;седан"
17500;10;122;седан;"17500;10;122;седан"
999;24;60;не седан;"999;24;60;не седан"
2000;25;115;не седан;"2000;25;115;не седан"
6250;7;310;не седан;"6250;7;310;не седан"
2700;24;125;седан;"2700;24;125;седан"
500;28;45;не седан;"500;28;45;не седан"
5555;13;71;не седан;"5555;13;71;не седан"
8450;13;95;седан;"8450;13;95;седан"
2750;22;147;не седан;"2750;22;147;не седан"
650;26;45;не седан;"650;26;45;не седан"
680;23;75;седан;"680;23;75;седан"
444;28;45;не седан;"444;28;45;не седан"
4650;14;73;не седан;"4650;14;73;не седан"
4450;16;97;не седан;"4450;16;97;не седан"
1999;20;65;не седан;"1999;20;65;не седан"
9650;12;110;не седан;"9650;12;110;не седан"
2700;31;220;седан;"2700;31;220;седан"
3850;19;82;седан;"3850;19;82;седан"
15500;15;239;не седан;"15500;15;239;не седан"
3400;21;193;седан;"3400;21;193;седан"
11500;13;179;не седан;"11500;13;179;не седан"
2800;16;68;не седан;"2800;16;68;не седан"
1490;31;136;седан;"1490;31;136;седан"
650;23;75;не седан;"650;23;75;не седан"
1199;31;80;не седан;"1199;31;80;не седан"
3200;22;150;не седан;"3200;22;150;не седан"
4000;19;203;седан;"4000;19;203;седан"
6450;17;150;не седан;"6450;17;150;не седан"
1690;22;75;не седан;"1690;22;75;не седан"
1750;21;150;седан;"1750;21;150;седан"
2990;22;82;седан;"2990;22;82;седан"
1299;7;75;не седан;"1299;7;75;не седан"
1000;23;50;не седан;"1000;23;50;не седан"
650;23;144;не седан;"650;23;144;не седан"
5500;13;120;не седан;"5500;13;120;не седан"
1299;25;75;не седан;"1299;25;75;не седан"
7600;19;143;не седан;"7600;19;143;не седан"
13499;13;160;не седан;"13499;13;160;не седан"
1490;16;58;не седан;"1490;16;58;не седан"
5500;16;80;седан;"5500;16;80;седан"
2350;20;143;седан;"2350;20;143;седан"
6350;14;140;не седан;"6350;14;140;не седан"
750;24;101;не седан;"750;24;101;не седан"
1500;25;101;седан;"1500;25;101;седан"
8500;20;300;седан;"8500;20;300;седан"
4300;20;179;не седан;"4300;20;179;не седан"
850;22;103;не седан;"850;22;103;не седан"
6700;14;95;седан;"6700;14;95;седан"
2238;20;75;не седан;"2238;20;75;не седан"
250;29;102;не седан;"250;29;102;не седан"
3350;26;170;не седан;"3350;26;170;не седан"
2000;18;86;не седан;"2000;18;86;не седан"
14500;16;140;не седан;"14500;16;140;не седан"
4199;21;75;не седан;"4199;21;75;не седан"
6999;14;85;не седан;"6999;14;85;не седан"
4490;15;60;не седан;"4490;15;60;не седан"
1200;21;90;не седан;"1200;21;90;не седан"
8100;19;150;не седан;"8100;19;150;не седан"
12650;17;258;не седан;"12650;17;258;не седан"
2400;26;125;не седан;"2400;26;125;не седан"
5250;6;84;не седан;"5250;6;84;не седан"
14500;14;160;седан;"14500;14;160;седан"
4300;16;90;седан;"4300;16;90;седан"
2250;17;61;не седан;"2250;17;61;не седан"
10550;15;143;не седан;"10550;15;143;не седан"
200;28;60;не седан;"200;28;60;не седан"
11500;13;170;седан;"11500;13;170;седан"
890;21;101;не седан;"890;21;101;не седан"
2990;17;105;седан;"2990;17;105;седан"
9600;15;136;не седан;"9600;15;136;не седан"
1099;28;45;не седан;"1099;28;45;не седан"
1700;23;75;седан;"1700;23;75;седан"
4760;15;98;не седан;"4760;15;98;не седан"
16500;11;140;не седан;"16500;11;140;не седан"
5300;24;179;не седан;"5300;24;179;не седан"
3555;20;109;не седан;"3555;20;109;не седан"
350;34;45;не седан;"350;34;45;не седан"
19900;14;150;не седан;"19900;14;150;не седан"
15200;16;320;седан;"15200;16;320;седан"
700;29;75;не седан;"700;29;75;не седан"
550;28;130;седан;"550;28;130;седан"
8700;17;140;не седан;"8700;17;140;не седан"
6990;11;86;не седан;"6990;11;86;не седан"
5500;17;90;седан;"5500;17;90;седан"
1650;17;63;не седан;"1650;17;63;не седан"
7900;14;170;седан;"7900;14;170;седан"
4290;17;109;не седан;"4290;17;109;не седан"
14650;9;86;седан;"14650;9;86;седан"
3299;21;143;не седан;"3299;21;143;не седан"
6500;11;81;не седан;"6500;11;81;не седан"
600;21;148;не седан;"600;21;148;не седан"
5800;17;102;седан;"5800;17;102;седан"
1600;24;75;не седан;"1600;24;75;не седан"
8000;12;156;не седан;"8000;12;156;не седан"
6500;16;170;не седан;"6500;16;170;не седан"
899;5;101;не седан;"899;5;101;не седан"
2790;19;109;не седан;"2790;19;109;не седан"
2390;16;54;не седан;"2390;16;54;не седан"
9900;15;170;седан;"9900;15;170;седан"
6500;14;140;не седан;"6500;14;140;не седан"
1450;22;125;не седан;"1450;22;125;не седан"
3600;20;131;не седан;"3600;20;131;не седан"
2295;23;54;не седан;"2295;23;54;не седан"
4400;6;95;не седан;"4400;6;95;не седан"
950;32;90;седан;"950;32;90;седан"
500;27;45;не седан;"500;27;45;не седан"
800;25;101;не седан;"800;25;101;не седан"
1250;25;116;не седан;"1250;25;116;не седан"
3250;17;129;не седан;"3250;17;129;не седан"
13500;16;204;не седан;"13500;16;204;не седан"
4999;24;170;седан;"4999;24;170;седан"
18300;10;122;не седан;"18300;10;122;не седан"
1000;22;75;не седан;"1000;22;75;не седан"
2700;20;75;не седан;"2700;20;75;не седан"
4990;16;69;не седан;"4990;16;69;не седан"
150;7;50;не седан;"150;7;50;не седан"
6800;22;192;не седан;"6800;22;192;не седан"
2999;14;75;не седан;"2999;14;75;не седан"
1500;32;97;седан;"1500;32;97;седан"
4600;6;184;не седан;"4600;6;184;не седан"
6500;42;204;не седан;"6500;42;204;не седан"
1900;19;136;не седан;"1900;19;136;не седан"
4900;50;44;не седан;"4900;50;44;не седан"
10490;13;140;не седан;"10490;13;140;не седан"
2100;19;83;не седан;"2100;19;83;не седан"
3999;20;102;седан;"3999;20;102;седан"
1350;22;60;не седан;"1350;22;60;не седан"
600;29;105;седан;"600;29;105;седан"
4550;7;101;не седан;"4550;7;101;не седан"
800;18;70;не седан;"800;18;70;не седан"
11500;8;160;не седан;"11500;8;160;не седан"
5000;23;122;не седан;"5000;23;122;не седан"
2400;19;69;не седан;"2400;19;69;не седан"
4800;19;145;не седан;"4800;19;145;не седан"
3250;12;60;не седан;"3250;12;60;не седан"
200;28;55;не седан;"200;28;55;не седан"
11800;17;170;не седан;"11800;17;170;не седан"
3500;23;143;не седан;"3500;23;143;не седан"
9499;15;136;седан;"9499;15;136;седан"
3500;25;125;не седан;"3500;25;125;не седан"
1999;21;60;не седан;"1999;21;60;не седан"
1500;25;150;не седан;"1500;25;150;не седан"
400;28;85;седан;"400;28;85;седан"
12950;12;105;не седан;"12950;12;105;не седан"
2150;15;64;не седан;"2150;15;64;не седан"
4999;24;180;не седан;"4999;24;180;не седан"
5200;22;163;не седан;"5200;22;163;не седан"
9099;19;280;седан;"9099;19;280;седан"
8200;17;122;не седан;"8200;17;122;не седан"
2000;28;193;не седан;"2000;28;193;не седан"
750;26;75;не седан;"750;26;75;не седан"
2099;6;184;не седан;"2099;6;184;не седан"
1190;22;60;не седан;"1190;22;60;не седан"
1200;23;101;не седан;"1200;23;101;не седан"
3000;21;116;седан;"3000;21;116;седан"
1150;22;60;не седан;"1150;22;60;не седан"
13980;17;231;седан;"13980;17;231;седан"
6499;17;136;не седан;"6499;17;136;не седан"
3499;19;140;седан;"3499;19;140;седан"
8850;18;190;не седан;"8850;18;190;не седан"
4000;22;115;не седан;"4000;22;115;не седан"
1990;20;90;не седан;"1990;20;90;не седан"
7199;14;140;седан;"7199;14;140;седан"
16299;13;239;седан;"16299;13;239;седан"
1999;22;116;не седан;"1999;22;116;не седан"
9990;13;150;не седан;"9990;13;150;не седан"
13800;15;190;не седан;"13800;15;190;не седан"
2150;20;75;не седан;"2150;20;75;не седан"
2500;25;90;не седан;"2500;25;90;не седан"
15750;12;184;не седан;"15750;12;184;не седан"
990;26;101;не седан;"990;26;101;не седан"
700;22;75;не седан;"700;22;75;не седан"
750;26;122;не седан;"750;26;122;не седан"
12000;7;105;не седан;"12000;7;105;не седан"
11800;22;260;седан;"11800;22;260;седан"
2700;31;60;не седан;"2700;31;60;не седан"
1650;17;69;не седан;"1650;17;69;не седан"
999;26;75;не седан;"999;26;75;не седан"
800;25;109;седан;"800;25;109;седан"
11900;16;179;седан;"11900;16;179;седан"
1100;25;120;не седан;"1100;25;120;не седан"
2100;14;156;не седан;"2100;14;156;не седан"
5350;20;116;не седан;"5350;20;116;не седан"
6000;14;177;седан;"6000;14;177;седан"
2000;20;130;не седан;"2000;20;130;не седан"
5990;21;197;не седан;"5990;21;197;не седан"
4499;18;140;седан;"4499;18;140;седан"
2999;24;105;седан;"2999;24;105;седан"
7800;17;104;седан;"7800;17;104;седан"
2900;21;116;седан;"2900;21;116;седан"
1999;19;136;седан;"1999;19;136;седан"
8799;9;87;не седан;"8799;9;87;не седан"
970;22;88;седан;"970;22;88;седан"
1599;24;90;не седан;"1599;24;90;не седан"
750;29;107;не седан;"750;29;107;не седан"
1000;32;116;седан;"1000;32;116;седан"
10500;14;140;не седан;"10500;14;140;не седан"
5900;6;116;не седан;"5900;6;116;не седан"
12000;54;140;седан;"12000;54;140;седан"
1698;26;136;не седан;"1698;26;136;не седан"
7990;6;109;не седан;"7990;6;109;не седан"
4500;16;90;седан;"4500;16;90;седан"
1480;20;58;не седан;"1480;20;58;не седан"
8450;15;131;не седан;"8450;15;131;не седан"
1650;6;60;не седан;"1650;6;60;не седан"
3700;20;143;не седан;"3700;20;143;не седан"
5000;15;136;не седан;"5000;15;136;не седан"
7500;17;95;не седан;"7500;17;95;не седан"
14750;14;160;не седан;"14750;14;160;не седан"
10100;14;143;не седан;"10100;14;143;не седан"
1750;7;116;не седан;"1750;7;116;не седан"
2250;22;147;не седан;"2250;22;147;не седан"
15500;11;120;не седан;"15500;11;120;не седан"
2300;24;170;не седан;"2300;24;170;не седан"
12999;21;306;седан;"12999;21;306;седан"
7800;17;131;не седан;"7800;17;131;не седан"
6200;14;95;не седан;"6200;14;95;не седан"
5300;14;68;не седан;"5300;14;68;не седан"
1849;26;193;не седан;"1849;26;193;не седан"
1800;24;58;не седан;"1800;24;58;не седан"
2100;18;64;не седан;"2100;18;64;не седан"
1700;24;193;не седан;"1700;24;193;не седан"
800;27;122;седан;"800;27;122;седан"
500;22;188;не седан;"500;22;188;не седан"
11850;12;95;седан;"11850;12;95;седан"
890;16;75;не седан;"890;16;75;не седан"
1299;24;102;седан;"1299;24;102;седан"
750;25;193;не седан;"750;25;193;не седан"
4500;19;105;не седан;"4500;19;105;не седан"
4000;24;120;не седан;"4000;24;120;не седан"
950;24;60;не седан;"950;24;60;не седан"
4200;20;90;не седан;"4200;20;90;не седан"
5950;20;131;седан;"5950;20;131;седан"
2650;17;105;седан;"2650;17;105;седан"
9500;18;265;не седан;"9500;18;265;не седан"
9250;11;75;не седан;"9250;11;75;не седан"
850;27;116;не седан;"850;27;116;не седан"
2990;21;116;седан;"2990;21;116;седан"
16000;13;170;седан;"16000;13;170;седан"
499;31;54;не седан;"499;31;54;не седан"
2500;24;170;седан;"2500;24;170;седан"
3499;19;75;седан;"3499;19;75;седан"
1699;20;102;седан;"1699;20;102;седан"
2400;17;75;не седан;"2400;17;75;не седан"
2999;23;122;седан;"2999;23;122;седан"
13800;18;333;седан;"13800;18;333;седан"
6200;14;68;не седан;"6200;14;68;не седан"
3450;16;88;не седан;"3450;16;88;не седан"
3500;18;125;не седан;"3500;18;125;не седан"
7500;10;71;не седан;"7500;10;71;не седан"
11000;11;105;не седан;"11000;11;105;не седан"
2100;19;65;не седан;"2100;19;65;не седан"
3999;21;131;не седан;"3999;21;131;не седан"
13900;15;150;не седан;"13900;15;150;не седан"
550;28;105;не седан;"550;28;105;не седан"
3200;23;75;не седан;"3200;23;75;не седан"
11500;17;129;седан;"11500;17;129;седан"
11540;13;122;не седан;"11540;13;122;не седан"
13199;11;120;не седан;"13199;11;120;не седан"
12790;22;163;не седан;"12790;22;163;не седан"
600;28;122;седан;"600;28;122;седан"
2500;22;125;не седан;"2500;22;125;не седан"
13750;8;86;не седан;"13750;8;86;не седан"
8200;10;75;не седан;"8200;10;75;не седан"
3000;19;110;не седан;"3000;19;110;не седан"
2350;24;150;не седан;"2350;24;150;не седан"
14900;11;105;не седан;"14900;11;105;не седан"
12800;13;140;седан;"12800;13;140;седан"
1800;19;63;не седан;"1800;19;63;не седан"
3100;19;101;седан;"3100;19;101;седан"
5500;20;163;седан;"5500;20;163;седан"
5000;17;185;седан;"5000;17;185;седан"
480;22;75;не седан;"480;22;75;не седан"
1800;29;102;седан;"1800;29;102;седан"
350;24;120;седан;"350;24;120;седан"
